Airport,IATA Code,Year,Passengers
Los Angeles,LAX,2013,66667619
Los Angeles,LAX,2014,70663265
Los Angeles,LAX,2015,74937004
Los Angeles,LAX,2016,80921527
Los Angeles,LAX,2017,84557968
