Airport,IATA Code,Year,Passengers
Atlanta,ATL,2013,94431224
Atlanta,ATL,2014,96178899
Atlanta,ATL,2015,101491106
Atlanta,ATL,2016,104171935
Atlanta,ATL,2017,103902992
