Airport,IATA Code,Year,Passengers
Dubai ,DXB,2013,66431533
Dubai ,DXB,2014,70475636
Dubai ,DXB,2015,78014841
Dubai ,DXB,2016,83654250
Dubai ,DXB,2017,88242099
